"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"759",2020-07-19,"Osasuna","Mallorca",2,2,"D"
"760",2020-07-19,"Sevilla","Valencia",1,0,"H"
"761",2020-08-16,"Ath Bilbao","Barcelona",1,0,"H"
"762",2020-08-17,"Celta","Real Madrid",1,3,"A"
"763",2020-08-17,"Valencia","Sociedad",1,1,"D"
"764",2020-08-17,"Mallorca","Eibar",2,1,"H"
"765",2020-08-17,"Leganes","Osasuna",0,1,"A"
"766",2020-08-17,"Villarreal","Granada",4,4,"D"
"767",2020-08-18,"Alaves","Levante",1,0,"H"
"768",2020-08-18,"Espanol","Sevilla",0,2,"A"
"769",2020-08-18,"Betis","Valladolid",1,2,"A"
"770",2020-08-18,"Ath Madrid","Getafe",1,0,"H"
"771",2020-08-23,"Granada","Sevilla",0,1,"A"
"772",2020-08-23,"Levante","Villarreal",2,1,"H"
"773",2020-08-24,"Osasuna","Eibar",0,0,"D"
"774",2020-08-24,"Real Madrid","Valladolid",1,1,"D"
"775",2020-08-24,"Celta","Valencia",1,0,"H"
"776",2020-08-24,"Getafe","Ath Bilbao",1,1,"D"
"777",2020-08-25,"Alaves","Espanol",0,0,"D"
"778",2020-08-25,"Mallorca","Sociedad",0,1,"A"
"779",2020-08-25,"Leganes","Ath Madrid",0,1,"A"
"780",2020-08-25,"Barcelona","Betis",5,2,"H"
"781",2020-08-30,"Sevilla","Celta",1,1,"D"
"782",2020-08-30,"Ath Bilbao","Sociedad",2,0,"H"
"783",2020-08-31,"Osasuna","Barcelona",2,2,"D"
"784",2020-08-31,"Getafe","Alaves",1,1,"D"
"785",2020-08-31,"Levante","Valladolid",2,0,"H"
"786",2020-08-31,"Betis","Leganes",2,1,"H"
"787",2020-09-01,"Valencia","Mallorca",2,0,"H"
"788",2020-09-01,"Ath Madrid","Eibar",3,2,"H"
"789",2020-09-01,"Espanol","Granada",0,3,"A"
"790",2020-09-01,"Villarreal","Real Madrid",2,2,"D"
"791",2020-09-13,"Mallorca","Ath Bilbao",0,0,"D"
"792",2020-09-14,"Real Madrid","Levante",3,2,"H"
"793",2020-09-14,"Leganes","Villarreal",0,3,"A"
"794",2020-09-14,"Sociedad","Ath Madrid",2,0,"H"
"795",2020-09-14,"Barcelona","Valencia",5,2,"H"
"796",2020-09-15,"Eibar","Espanol",1,2,"A"
"797",2020-09-15,"Alaves","Sevilla",0,1,"A"
"798",2020-09-15,"Celta","Granada",0,2,"A"
"799",2020-09-15,"Valladolid","Osasuna",1,1,"D"
"800",2020-09-15,"Betis","Getafe",1,1,"D"
"801",2020-09-20,"Osasuna","Betis",0,0,"D"
"802",2020-09-21,"Villarreal","Valladolid",2,0,"H"
"803",2020-09-21,"Levante","Eibar",0,0,"D"
"804",2020-09-21,"Ath Madrid","Celta",0,0,"D"
"805",2020-09-21,"Granada","Barcelona",2,0,"H"
"806",2020-09-22,"Getafe","Mallorca",4,2,"H"
"807",2020-09-22,"Espanol","Sociedad",1,3,"A"
"808",2020-09-22,"Valencia","Leganes",1,1,"D"
"809",2020-09-22,"Ath Bilbao","Alaves",2,0,"H"
"810",2020-09-22,"Sevilla","Real Madrid",0,1,"A"
"811",2020-09-24,"Valladolid","Granada",1,1,"D"
"812",2020-09-24,"Betis","Levante",3,1,"H"
"813",2020-09-24,"Barcelona","Villarreal",2,1,"H"
"814",2020-09-25,"Leganes","Ath Bilbao",1,1,"D"
"815",2020-09-25,"Mallorca","Ath Madrid",0,2,"A"
"816",2020-09-25,"Valencia","Getafe",3,3,"D"
"817",2020-09-25,"Real Madrid","Osasuna",2,0,"H"
"818",2020-09-26,"Eibar","Sevilla",3,2,"H"
"819",2020-09-26,"Celta","Espanol",1,1,"D"
"820",2020-09-26,"Sociedad","Alaves",3,0,"H"
"821",2020-09-27,"Villarreal","Betis",5,1,"H"
"822",2020-09-28,"Ath Bilbao","Valencia",0,1,"A"
"823",2020-09-28,"Getafe","Barcelona",0,2,"A"
"824",2020-09-28,"Granada","Leganes",1,0,"H"
"825",2020-09-28,"Ath Madrid","Real Madrid",0,0,"D"
"826",2020-09-29,"Espanol","Valladolid",0,2,"A"
"827",2020-09-29,"Eibar","Celta",2,0,"H"
"828",2020-09-29,"Alaves","Mallorca",2,0,"H"
"829",2020-09-29,"Levante","Osasuna",1,1,"D"
"830",2020-09-29,"Sevilla","Sociedad",3,2,"H"
"831",2020-10-04,"Betis","Eibar",1,1,"D"
"832",2020-10-05,"Leganes","Levante",1,2,"A"
"833",2020-10-05,"Real Madrid","Granada",4,2,"H"
"834",2020-10-05,"Valencia","Alaves",2,1,"H"
"835",2020-10-05,"Osasuna","Villarreal",2,1,"H"
"836",2020-10-06,"Mallorca","Espanol",2,0,"H"
"837",2020-10-06,"Celta","Ath Bilbao",1,0,"H"
"838",2020-10-06,"Valladolid","Ath Madrid",0,0,"D"
"839",2020-10-06,"Sociedad","Getafe",1,2,"A"
"840",2020-10-06,"Barcelona","Sevilla",4,0,"H"
"841",2020-10-18,"Granada","Osasuna",1,0,"H"
"842",2020-10-19,"Eibar","Barcelona",0,3,"A"
"843",2020-10-19,"Ath Madrid","Valencia",1,1,"D"
"844",2020-10-19,"Getafe","Leganes",2,0,"H"
"845",2020-10-19,"Mallorca","Real Madrid",1,0,"H"
"846",2020-10-20,"Alaves","Celta",2,0,"H"
"847",2020-10-20,"Sociedad","Betis",3,1,"H"
"848",2020-10-20,"Espanol","Villarreal",0,1,"A"
"849",2020-10-20,"Ath Bilbao","Valladolid",1,1,"D"
"850",2020-10-20,"Sevilla","Levante",1,0,"H"
"851",2020-10-25,"Villarreal","Alaves",4,1,"H"
"852",2020-10-26,"Leganes","Mallorca",1,0,"H"
"853",2020-10-26,"Valladolid","Eibar",2,0,"H"
"854",2020-10-26,"Ath Madrid","Ath Bilbao",2,0,"H"
"855",2020-10-27,"Celta","Sociedad",0,1,"A"
"856",2020-10-27,"Granada","Betis",1,0,"H"
"857",2020-10-27,"Levante","Espanol",0,1,"A"
"858",2020-10-27,"Sevilla","Getafe",2,0,"H"
"859",2020-10-27,"Osasuna","Valencia",3,1,"H"
"860",2020-10-29,"Alaves","Ath Madrid",1,1,"D"
"861",2020-10-29,"Barcelona","Valladolid",5,1,"H"
"862",2020-10-30,"Sociedad","Levante",1,2,"A"
"863",2020-10-30,"Valencia","Sevilla",1,1,"D"
"864",2020-10-30,"Ath Bilbao","Espanol",3,0,"H"
"865",2020-10-30,"Betis","Celta",2,1,"H"
"866",2020-10-30,"Real Madrid","Leganes",5,0,"H"
"867",2020-10-31,"Eibar","Villarreal",2,1,"H"
"868",2020-10-31,"Mallorca","Osasuna",2,2,"D"
"869",2020-10-31,"Getafe","Granada",3,1,"H"
"870",2020-11-02,"Espanol","Valencia",1,2,"A"
"871",2020-11-02,"Levante","Barcelona",3,1,"H"
"872",2020-11-02,"Sevilla","Ath Madrid",1,1,"D"
"873",2020-11-02,"Real Madrid","Betis",0,0,"D"
"874",2020-11-03,"Valladolid","Mallorca",3,0,"H"
"875",2020-11-03,"Villarreal","Ath Bilbao",0,0,"D"
"876",2020-11-03,"Osasuna","Alaves",4,2,"H"
"877",2020-11-03,"Celta","Getafe",0,1,"A"
"878",2020-11-03,"Leganes","Eibar",1,2,"A"
"879",2020-11-03,"Granada","Sociedad",1,2,"A"
"880",2020-11-08,"Sociedad","Leganes",1,1,"D"
"881",2020-11-09,"Alaves","Valladolid",3,0,"H"
"882",2020-11-09,"Valencia","Granada",2,0,"H"
"883",2020-11-09,"Eibar","Real Madrid",0,4,"A"
"884",2020-11-09,"Barcelona","Celta",4,1,"H"
"885",2020-11-10,"Mallorca","Villarreal",3,1,"H"
"886",2020-11-10,"Ath Bilbao","Levante",2,1,"H"
"887",2020-11-10,"Ath Madrid","Espanol",3,1,"H"
"888",2020-11-10,"Getafe","Osasuna",0,0,"D"
"889",2020-11-10,"Betis","Sevilla",1,2,"A"
"890",2020-11-22,"Levante","Mallorca",2,1,"H"
"891",2020-11-23,"Leganes","Barcelona",1,2,"A"
"892",2020-11-23,"Betis","Valencia",2,1,"H"
"893",2020-11-23,"Granada","Ath Madrid",1,1,"D"
"894",2020-11-23,"Real Madrid","Sociedad",3,1,"H"
"895",2020-11-24,"Espanol","Getafe",1,1,"D"
"896",2020-11-24,"Osasuna","Ath Bilbao",1,2,"A"
"897",2020-11-24,"Eibar","Alaves",0,2,"A"
"898",2020-11-24,"Villarreal","Celta",1,3,"A"
"899",2020-11-24,"Valladolid","Sevilla",0,1,"A"
"900",2020-11-29,"Celta","Valladolid",0,0,"D"
"901",2020-11-30,"Alaves","Real Madrid",1,2,"A"
"902",2020-11-30,"Sociedad","Eibar",4,1,"H"
"903",2020-11-30,"Mallorca","Betis",1,2,"A"
"904",2020-11-30,"Valencia","Villarreal",2,1,"H"
"905",2020-12-01,"Sevilla","Leganes",1,0,"H"
"906",2020-12-01,"Ath Bilbao","Granada",2,0,"H"
"907",2020-12-01,"Espanol","Osasuna",2,4,"A"
"908",2020-12-01,"Getafe","Levante",4,0,"H"
"909",2020-12-01,"Ath Madrid","Barcelona",0,1,"A"
"910",2020-12-06,"Villarreal","Ath Madrid",0,0,"D"
"911",2020-12-07,"Real Madrid","Espanol",2,0,"H"
"912",2020-12-07,"Granada","Alaves",3,0,"H"
"913",2020-12-07,"Levante","Valencia",2,4,"A"
"914",2020-12-07,"Barcelona","Mallorca",5,2,"H"
"915",2020-12-08,"Eibar","Getafe",0,1,"A"
"916",2020-12-08,"Betis","Ath Bilbao",3,2,"H"
"917",2020-12-08,"Valladolid","Sociedad",0,0,"D"
"918",2020-12-08,"Leganes","Celta",3,2,"H"
"919",2020-12-08,"Osasuna","Sevilla",1,1,"D"
"920",2020-12-13,"Alaves","Leganes",1,1,"D"
"921",2020-12-14,"Granada","Levante",1,2,"A"
"922",2020-12-14,"Sociedad","Barcelona",2,2,"D"
"923",2020-12-14,"Ath Bilbao","Eibar",0,0,"D"
"924",2020-12-14,"Ath Madrid","Osasuna",2,0,"H"
"925",2020-12-15,"Getafe","Valladolid",2,0,"H"
"926",2020-12-15,"Celta","Mallorca",2,2,"D"
"927",2020-12-15,"Espanol","Betis",2,2,"D"
"928",2020-12-15,"Sevilla","Villarreal",1,2,"A"
"929",2020-12-15,"Valencia","Real Madrid",1,1,"D"
"930",2020-12-18,"Barcelona","Real Madrid",0,0,"D"
"931",2020-12-20,"Eibar","Granada",3,0,"H"
"932",2020-12-21,"Mallorca","Sevilla",0,2,"A"
"933",2020-12-21,"Barcelona","Alaves",4,1,"H"
"934",2020-12-21,"Villarreal","Getafe",1,0,"H"
"935",2020-12-21,"Valladolid","Valencia",1,1,"D"
"936",2020-12-22,"Leganes","Espanol",2,0,"H"
"937",2020-12-22,"Osasuna","Sociedad",3,4,"A"
"938",2020-12-22,"Betis","Ath Madrid",1,2,"A"
"939",2020-12-22,"Levante","Celta",3,1,"H"
"940",2020-12-22,"Real Madrid","Ath Bilbao",0,0,"D"
"941",2020-01-03,"Valladolid","Leganes",2,2,"D"
"942",2020-01-03,"Sevilla","Ath Bilbao",1,1,"D"
"943",2020-01-04,"Valencia","Eibar",1,0,"H"
"944",2020-01-04,"Getafe","Real Madrid",0,3,"A"
"945",2020-01-04,"Ath Madrid","Levante",2,1,"H"
"946",2020-01-04,"Espanol","Barcelona",2,2,"D"
"947",2020-01-05,"Granada","Mallorca",1,0,"H"
"948",2020-01-05,"Sociedad","Villarreal",1,2,"A"
"949",2020-01-05,"Alaves","Betis",1,1,"D"
"950",2020-01-05,"Celta","Osasuna",1,1,"D"
"951",2020-01-17,"Leganes","Getafe",0,3,"A"
"952",2020-01-18,"Levante","Alaves",0,1,"A"
"953",2020-01-18,"Real Madrid","Sevilla",2,1,"H"
"954",2020-01-18,"Osasuna","Valladolid",0,0,"D"
"955",2020-01-18,"Eibar","Ath Madrid",2,0,"H"
"956",2020-01-19,"Mallorca","Valencia",4,1,"H"
"957",2020-01-19,"Betis","Sociedad",3,0,"H"
"958",2020-01-19,"Villarreal","Espanol",1,2,"A"
"959",2020-01-19,"Ath Bilbao","Celta",1,1,"D"
"960",2020-01-19,"Barcelona","Granada",1,0,"H"
"961",2020-01-24,"Osasuna","Levante",2,0,"H"
"962",2020-01-25,"Espanol","Ath Bilbao",1,1,"D"
"963",2020-01-25,"Valencia","Barcelona",2,0,"H"
"964",2020-01-25,"Alaves","Villarreal",1,2,"A"
"965",2020-01-25,"Sevilla","Granada",2,0,"H"
"966",2020-01-26,"Ath Madrid","Leganes",0,0,"D"
"967",2020-01-26,"Celta","Eibar",0,0,"D"
"968",2020-01-26,"Getafe","Betis",1,0,"H"
"969",2020-01-26,"Sociedad","Mallorca",3,0,"H"
"970",2020-01-26,"Valladolid","Real Madrid",0,1,"A"
"971",2020-02-01,"Granada","Espanol",2,1,"H"
"972",2020-02-01,"Real Madrid","Ath Madrid",1,0,"H"
"973",2020-02-01,"Mallorca","Valladolid",0,1,"A"
"974",2020-02-01,"Valencia","Celta",1,0,"H"
"975",2020-02-02,"Leganes","Sociedad",2,1,"H"
"976",2020-02-02,"Eibar","Betis",1,1,"D"
"977",2020-02-02,"Ath Bilbao","Getafe",0,2,"A"
"978",2020-02-02,"Sevilla","Alaves",1,1,"D"
"979",2020-02-02,"Villarreal","Osasuna",3,1,"H"
"980",2020-02-02,"Barcelona","Levante",2,1,"H"
"981",2020-02-07,"Alaves","Eibar",2,1,"H"
"982",2020-02-08,"Levante","Leganes",2,0,"H"
"983",2020-02-08,"Getafe","Valencia",3,0,"H"
"984",2020-02-08,"Valladolid","Villarreal",1,1,"D"
"985",2020-02-08,"Ath Madrid","Granada",1,0,"H"
"986",2020-02-09,"Espanol","Mallorca",1,0,"H"
"987",2020-02-09,"Sociedad","Ath Bilbao",2,1,"H"
"988",2020-02-09,"Osasuna","Real Madrid",1,4,"A"
"989",2020-02-09,"Celta","Sevilla",2,1,"H"
"990",2020-02-09,"Betis","Barcelona",2,3,"A"
"991",2020-02-14,"Valencia","Ath Madrid",2,2,"D"
"992",2020-02-15,"Mallorca","Alaves",1,0,"H"
"993",2020-02-15,"Barcelona","Getafe",2,1,"H"
"994",2020-02-15,"Villarreal","Levante",2,1,"H"
"995",2020-02-15,"Granada","Valladolid",2,1,"H"
"996",2020-02-16,"Sevilla","Espanol",2,2,"D"
"997",2020-02-16,"Leganes","Betis",0,0,"D"
"998",2020-02-16,"Ath Bilbao","Osasuna",0,1,"A"
"999",2020-02-16,"Real Madrid","Celta",2,2,"D"
"1000",2020-02-21,"Betis","Mallorca",3,3,"D"
"1001",2020-02-22,"Celta","Leganes",1,0,"H"
"1002",2020-02-22,"Barcelona","Eibar",5,0,"H"
"1003",2020-02-22,"Sociedad","Valencia",3,0,"H"
"1004",2020-02-22,"Levante","Real Madrid",1,0,"H"
"1005",2020-02-23,"Osasuna","Granada",0,3,"A"
"1006",2020-02-23,"Alaves","Ath Bilbao",2,1,"H"
"1007",2020-02-23,"Valladolid","Espanol",2,1,"H"
"1008",2020-02-23,"Getafe","Sevilla",0,3,"A"
"1009",2020-02-23,"Ath Madrid","Villarreal",3,1,"H"
"1010",2020-02-28,"Sociedad","Valladolid",1,0,"H"
"1011",2020-02-29,"Eibar","Levante",3,0,"H"
"1012",2020-02-29,"Valencia","Betis",2,1,"H"
"1013",2020-02-29,"Leganes","Alaves",1,1,"D"
"1014",2020-02-29,"Granada","Celta",0,0,"D"
"1015",2020-03-01,"Sevilla","Osasuna",3,2,"H"
"1016",2020-03-01,"Ath Bilbao","Villarreal",1,0,"H"
"1017",2020-03-01,"Espanol","Ath Madrid",1,1,"D"
"1018",2020-03-01,"Mallorca","Getafe",0,1,"A"
"1019",2020-03-01,"Real Madrid","Barcelona",2,0,"H"
"1020",2020-03-06,"Alaves","Valencia",1,1,"D"
"1021",2020-03-07,"Eibar","Mallorca",1,2,"A"
"1022",2020-03-07,"Ath Madrid","Sevilla",2,2,"D"
"1023",2020-03-07,"Barcelona","Sociedad",1,0,"H"
"1024",2020-03-07,"Getafe","Celta",0,0,"D"
"1025",2020-03-08,"Osasuna","Espanol",1,0,"H"
"1026",2020-03-08,"Valladolid","Ath Bilbao",1,4,"A"
"1027",2020-03-08,"Levante","Granada",1,1,"D"
"1028",2020-03-08,"Villarreal","Leganes",1,2,"A"
"1029",2020-03-08,"Betis","Real Madrid",2,1,"H"
"1030",2020-03-10,"Eibar","Sociedad",1,2,"A"
"1031",2020-06-11,"Sevilla","Betis",2,0,"H"
"1032",2020-06-12,"Granada","Getafe",2,1,"H"
"1033",2020-06-12,"Valencia","Levante",1,1,"D"
"1034",2020-06-13,"Espanol","Alaves",2,0,"H"
"1035",2020-06-13,"Celta","Villarreal",0,1,"A"
"1036",2020-06-13,"Leganes","Valladolid",1,2,"A"
"1037",2020-06-13,"Mallorca","Barcelona",0,4,"A"
"1038",2020-06-14,"Ath Bilbao","Ath Madrid",1,1,"D"
"1039",2020-06-14,"Real Madrid","Eibar",3,1,"H"
"1040",2020-06-14,"Sociedad","Osasuna",1,1,"D"
"1041",2020-06-15,"Levante","Sevilla",1,1,"D"
"1042",2020-06-15,"Betis","Granada",2,2,"D"
"1043",2020-06-16,"Getafe","Espanol",0,0,"D"
"1044",2020-06-16,"Villarreal","Mallorca",1,0,"H"
"1045",2020-06-16,"Barcelona","Leganes",2,0,"H"
"1046",2020-06-17,"Eibar","Ath Bilbao",2,2,"D"
"1047",2020-06-17,"Valladolid","Celta",0,0,"D"
"1048",2020-06-17,"Osasuna","Ath Madrid",0,5,"A"
"1049",2020-06-18,"Alaves","Sociedad",2,0,"H"
"1050",2020-06-18,"Real Madrid","Valencia",3,0,"H"
"1051",2020-06-19,"Granada","Villarreal",0,1,"A"
"1052",2020-06-19,"Mallorca","Leganes",1,1,"D"
"1053",2020-06-19,"Sevilla","Barcelona",0,0,"D"
"1054",2020-06-20,"Espanol","Levante",1,3,"A"
"1055",2020-06-20,"Ath Bilbao","Betis",1,0,"H"
"1056",2020-06-20,"Getafe","Eibar",1,1,"D"
"1057",2020-06-20,"Ath Madrid","Valladolid",1,0,"H"
"1058",2020-06-21,"Celta","Alaves",6,0,"H"
"1059",2020-06-21,"Valencia","Osasuna",2,0,"H"
"1060",2020-06-21,"Sociedad","Real Madrid",1,2,"A"
"1061",2020-06-22,"Villarreal","Sevilla",2,2,"D"
"1062",2020-06-22,"Leganes","Granada",0,0,"D"
"1063",2020-06-23,"Levante","Ath Madrid",0,1,"A"
"1064",2020-06-23,"Valladolid","Getafe",1,1,"D"
"1065",2020-06-23,"Barcelona","Ath Bilbao",1,0,"H"
"1066",2020-06-24,"Alaves","Osasuna",0,1,"A"
"1067",2020-06-24,"Sociedad","Celta",0,1,"A"
"1068",2020-06-24,"Real Madrid","Mallorca",2,0,"H"
"1069",2020-06-25,"Eibar","Valencia",1,0,"H"
"1070",2020-06-25,"Betis","Espanol",1,0,"H"
"1071",2020-06-26,"Sevilla","Valladolid",1,1,"D"
"1072",2020-06-27,"Ath Bilbao","Mallorca",3,1,"H"
"1073",2020-06-27,"Celta","Barcelona",2,2,"D"
"1074",2020-06-27,"Osasuna","Leganes",2,1,"H"
"1075",2020-06-27,"Ath Madrid","Alaves",2,1,"H"
"1076",2020-06-28,"Levante","Betis",4,2,"H"
"1077",2020-06-28,"Villarreal","Valencia",2,0,"H"
"1078",2020-06-28,"Granada","Eibar",1,2,"A"
"1079",2020-06-28,"Espanol","Real Madrid",0,1,"A"
"1080",2020-06-29,"Getafe","Sociedad",2,1,"H"
"1081",2020-06-30,"Mallorca","Celta",5,1,"H"
"1082",2020-06-30,"Leganes","Sevilla",0,3,"A"
"1083",2020-06-30,"Barcelona","Ath Madrid",2,2,"D"
"1084",2020-07-01,"Alaves","Granada",0,2,"A"
"1085",2020-07-01,"Valencia","Ath Bilbao",0,2,"A"
"1086",2020-07-01,"Betis","Villarreal",0,2,"A"
"1087",2020-07-01,"Valladolid","Levante",0,0,"D"
"1088",2020-07-02,"Eibar","Osasuna",0,2,"A"
"1089",2020-07-02,"Sociedad","Espanol",2,1,"H"
"1090",2020-07-02,"Real Madrid","Getafe",1,0,"H"
"1091",2020-07-03,"Ath Madrid","Mallorca",3,0,"H"
"1092",2020-07-04,"Celta","Betis",1,1,"D"
"1093",2020-07-04,"Valladolid","Alaves",1,0,"H"
"1094",2020-07-04,"Granada","Valencia",2,2,"D"
"1095",2020-07-05,"Ath Bilbao","Real Madrid",0,1,"A"
"1096",2020-07-05,"Espanol","Leganes",0,1,"A"
"1097",2020-07-05,"Osasuna","Getafe",0,0,"D"
"1098",2020-07-05,"Villarreal","Barcelona",1,4,"A"
"1099",2020-07-06,"Levante","Sociedad",1,1,"D"
"1100",2020-07-06,"Sevilla","Eibar",1,0,"H"
"1101",2020-07-07,"Valencia","Valladolid",2,1,"H"
"1102",2020-07-07,"Celta","Ath Madrid",1,1,"D"
"1103",2020-07-08,"Betis","Osasuna",3,0,"H"
"1104",2020-07-08,"Getafe","Villarreal",1,3,"A"
"1105",2020-07-08,"Barcelona","Espanol",1,0,"H"
"1106",2020-07-09,"Eibar","Leganes",0,0,"D"
"1107",2020-07-09,"Mallorca","Levante",2,0,"H"
"1108",2020-07-09,"Ath Bilbao","Sevilla",1,2,"A"
"1109",2020-07-10,"Sociedad","Granada",2,3,"A"
"1110",2020-07-10,"Real Madrid","Alaves",2,0,"H"
"1111",2020-07-11,"Osasuna","Celta",2,1,"H"
"1112",2020-07-11,"Valladolid","Barcelona",0,1,"A"
"1113",2020-07-11,"Ath Madrid","Betis",1,0,"H"
"1114",2020-07-12,"Espanol","Eibar",0,2,"A"
"1115",2020-07-12,"Levante","Ath Bilbao",1,2,"A"
"1116",2020-07-12,"Leganes","Valencia",1,0,"H"
"1117",2020-07-12,"Sevilla","Mallorca",2,0,"H"
"1118",2020-07-13,"Alaves","Getafe",0,0,"D"
"1119",2020-07-13,"Villarreal","Sociedad",1,2,"A"
"1120",2020-07-13,"Granada","Real Madrid",1,2,"A"
"1121",2020-07-16,"Eibar","Valladolid",3,1,"H"
"1122",2020-07-16,"Ath Bilbao","Leganes",0,2,"A"
"1123",2020-07-16,"Barcelona","Osasuna",1,2,"A"
"1124",2020-07-16,"Betis","Alaves",1,2,"A"
"1125",2020-07-16,"Celta","Levante",2,3,"A"
"1126",2020-07-16,"Getafe","Ath Madrid",0,2,"A"
"1127",2020-07-16,"Mallorca","Granada",1,2,"A"
"1128",2020-07-16,"Real Madrid","Villarreal",2,1,"H"
"1129",2020-07-16,"Sociedad","Sevilla",0,0,"D"
"1130",2020-07-16,"Valencia","Espanol",1,0,"H"
"1131",2020-07-19,"Alaves","Barcelona",0,5,"A"
"1132",2020-07-19,"Valladolid","Betis",2,0,"H"
"1133",2020-07-19,"Villarreal","Eibar",4,0,"H"
"1134",2020-07-19,"Ath Madrid","Sociedad",1,1,"D"
"1135",2020-07-19,"Espanol","Celta",0,0,"D"
"1136",2020-07-19,"Granada","Ath Bilbao",4,0,"H"
"1137",2020-07-19,"Leganes","Real Madrid",2,2,"D"
"1138",2020-07-19,"Levante","Getafe",1,0,"H"
"1139",2020-07-19,"Osasuna","Mallorca",2,2,"D"
"1140",2020-07-19,"Sevilla","Valencia",1,0,"H"
